Make,Model,Model Year,link
Chevrolet,Malibu,2023,https://carbuzz.com/cars/chevrolet/malibu/2023
Chrysler,Pacifica Hybrid,2023,https://carbuzz.com/cars/chrysler/pacifica-hybrid/2023
Ford,Escape,2023,https://carbuzz.com/cars/ford/escape/2023
Ford,Escape Hybrid,2023,https://carbuzz.com/cars/ford/escape-hybrid/2023
Ford,Mustang Mach-E,2023,https://carbuzz.com/cars/ford/mach-e/2023
Ford,Transit Connect,2023,https://carbuzz.com/cars/ford/transit-connect-passenger-wagon/2023
Hyundai,Ioniq 5,2023,https://carbuzz.com/cars/hyundai/ioniq-5/2023
Hyundai,Sonata,2023,https://carbuzz.com/cars/hyundai/sonata/2023
Hyundai,Sonata Hybrid,2023,https://carbuzz.com/cars/hyundai/sonata-hybrid/2023
Kia,Niro,2023,https://carbuzz.com/cars/kia/niro-ev/2023
Kia,Niro EV,2023,https://carbuzz.com/cars/kia/niro/2023
Kia,Niro Plug-in Hybrid,2023,https://carbuzz.com/cars/kia/niro-hybrid/2023
Mercedes-Benz,Metris,2023,https://carbuzz.com/cars/mercedes-benz/metris-passenger-van/2023
Nissan,Altima,2023,https://carbuzz.com/cars/nissan/altima/2023
Tesla,Model 3,2023,https://carbuzz.com/cars/tesla/model-3/2023
Tesla,Model Y,2023,https://carbuzz.com/cars/tesla/model-y/2023
Toyota,Camry,2023,https://carbuzz.com/cars/toyota/camry/2023
Toyota,Camry Hybrid,2023,https://carbuzz.com/cars/toyota/camry-hybrid/2023
Toyota,Crown,2023,https://carbuzz.com/cars/toyota/crown/2023
Toyota,Highlander,2023,https://carbuzz.com/cars/toyota/highlander/2023
Toyota,Highlander Hybrid,2023,https://carbuzz.com/cars/toyota/highlander-hybrid/2023
Toyota,Prius,2023,https://carbuzz.com/cars/toyota/prius/2023
Toyota,RAV4,2023,https://carbuzz.com/cars/toyota/rav4/2023
Toyota,RAV4 Hybrid,2023,https://carbuzz.com/cars/toyota/rav4-hybrid/2023
Toyota,Sienna,2023,https://carbuzz.com/cars/toyota/sienna/2023
Toyota,Venza,2023,https://carbuzz.com/cars/toyota/venza/2023
